finca;variedad;lote;planta;diamF
tdb;sj;l2;sj2-3;15,25
tdb;sj;l2;sj2-3;18,1
tdb;sj;l2;sj2-3;22,1
tdb;sj;l2;sj2-3;16,45
tdb;sj;l2;sj2-3;18,4
tdb;sj;l2;sj2-3;17,6
tdb;sj;l2;sj2-3;18
tdb;sj;l2;sj2-3;15,3
tdb;sj;l2;sj2-3;18,4
tda;sj;l5;sj5-4;19,85
tda;sj;l5;sj5-4;19,1
tda;sj;l5;sj5-4;18,35
tda;sj;l5;sj5-4;17,15
tda;sj;l5;sj5-4;19
tda;sj;l5;sj5-4;18,5
tda;sj;l5;sj5-4;16,65
tda;sj;l5;sj5-4;18,25
tda;sj;l5;sj5-4;17,2
tda;sj;l5;sj5-4;17,7
tda;sj;l5;sj5-4;18,15
tda;sj;l5;sj5-4;19,3
tda;sj;l5;sj5-4;19,2
tda;sj;l5;sj5-6;15,35
tda;sj;l5;sj5-6;15,6
tda;sj;l5;sj5-6;17
tda;sj;l5;sj5-6;15,8
tda;sj;l5;sj5-6;16,45
tda;sj;l5;sj5-6;19,6
tda;sj;l5;sj5-6;16,95
tda;sj;l5;sj5-6;15,35
tda;sj;l5;sj5-6;18,2
tda;sj;l5;sj5-6;16,15
tda;sj;l5;sj5-6;18,9
tda;sj;l5;sj5-6;16,5
tda;sj;l5;sj5-6;18,35
tda;sj;l5;sj5-6;20,2
tda;sj;l5;sj5-7;17,7
tda;sj;l5;sj5-7;18,55
tda;sj;l5;sj5-7;15,8
tda;sj;l5;sj5-7;17,95
tda;sj;l5;sj5-7;17,45
tda;sj;l5;sj5-7;17,1
tda;sj;l5;sj5-7;16,2
tda;sj;l5;sj5-7;20,95
tda;sj;l5;sj5-7;14
tda;sj;l5;sj5-7;18
tda;sj;l5;sj5-7;16,6
tda;sj;l5;sj5-7;17,15
tda;sj;l5;sj5-7;14,7
tda;sj;l5;sj5-7;15,15
tda;sj;l5;sj5-5;17,7
tda;sj;l5;sj5-5;14,35
tda;sj;l5;sj5-5;15,4
tda;sj;l5;sj5-5;16,9
tda;sj;l5;sj5-5;16,3
tda;sj;l5;sj5-5;15,6
tda;sj;l5;sj5-5;17,2
tda;sj;l5;sj5-5;14,5
tda;sj;l5;sj5-5;16,5
tda;sj;l5;sj5-5;15,2
tda;sj;l5;sj5-5;14,65
tda;sj;l5;sj5-5;15,65
tda;sj;l5;sj5-3;17,05
tda;sj;l5;sj5-3;15,45
tda;sj;l5;sj5-3;15,5
tda;sj;l5;sj5-3;17,1
tda;sj;l5;sj5-3;16,15
tda;sj;l5;sj5-3;17,6
tda;sj;l5;sj5-3;14,4
tda;sj;l5;sj5-3;15,05
tda;sj;l5;sj5-3;16,5
tda;sj;l5;sj5-3;15,5
tda;sj;l5;sj5-3;16,75
tda;sj;l5;sj5-2;19,35
tda;sj;l5;sj5-2;18,5
